,,,
Description,Position/ Level,Quantity,Unit
150mm thick,5,1,m2
200mm thick,6,1,m2
200mm thick,6,1,m2
225mm thick,7,1,m2
225mm thick,7,1,m2
Attached chimney breasts,3,,
half brick common brickwork,1,1,m2
half brick common brickwork,1,1,m2
one brick common brickwork,2,1,m2
one brick common brickwork,2,1,m2
one and a half brick common brickwork,3,1,m2
one and a half brick common brickwork,3,1,m2
two brick common brickwork,4,1,m2
two brick common brickwork,4,1,m2
100mm blockwork,5,1,m2
100mm blockwork,5,1,m2
200mm blockwork,6,1,m2
200mm blockwork,6,1,m2
300mm blockwork,7,1,m2
300mm blockwork,7,1,m2
400mm blockwork,8,1,m2
400mm blockwork,8,1,m2
Isolated chimney stacks,4,,
common brickwork; within building,1,1,m3
common brickwork; within building,1,1,m3
common brickwork; above roof slope,2,1,m3
common brickwork; above roof slope,2,1,m3
facing brickwork; above roof slope,3,1,m3
facing brickwork; above roof slope,3,1,m3
rendered blockwork; within building,4,1,m3
rendered blockwork; within building,4,1,m3
rendered blockwork; above roof slope,5,1,m3
rendered blockwork; above roof slope,5,1,m3
"Removal of roofs, ceilings and timber suspended floors",3,,
"Pitched roofs; placing debris in rubbish skips, including disposal",1,,
"tiles or slates on battens and underfelt; 50 x 150mm softwood rafters at 400mm centres; 50 x 200mm softwood purlin at midspan; 50 x 100mm softwood wall plate, binders, hangers and collars",1,1,m2
"tiles or slates on battens and underfelt; 50 x 150mm softwood rafters at 400mm centres; 50 x 200mm softwood purlin at midspan; 50 x 100mm softwood wall plate, binders, hangers and collars",1,1,m2
50 x 100mm ceiling joists; fibreglass insulation laid between joists; plasterboard ceiling,2,1,m2
50 x 100mm ceiling joists; fibreglass insulation laid between joists; plasterboard ceiling,2,1,m2
"Flat roofs; placing debris in rubbish skips, including disposal",2,,
three layer built up felt roofing on ply or chipboard decking; 50 x 200mm ceiling joists at 400mm centres with fibreglass laid between; 50 x 100mm wall plate; plasterboard ceiling,1,1,m2
three layer built up felt roofing on ply or chipboard decking; 50 x 200mm ceiling joists at 400mm centres with fibreglass laid between; 50 x 100mm wall plate; plasterboard ceiling,1,1,m2
"Timber suspended floors; placing debris in rubbish skips, including disposal",3,,
softwood boarding on 50 x 200mm softwood floor joists at 400mm centres; plasterboard ceiling,1,1,m2
softwood boarding on 50 x 200mm softwood floor joists at 400mm centres; plasterboard ceiling,1,1,m2
chipboard flooring on 50 x 150mm softwood floor joists at 400mm centres; plasterboard ceiling,2,1,m2
chipboard flooring on 50 x 150mm softwood floor joists at 400mm centres; plasterboard ceiling,2,1,m2
Removal of internal partitions,4,,
"Take down stud partitions, faced both sides; place debris in rubbish skip, including disposal",1,,
lath and plaster finish,1,1,m2
lath and plaster finish,1,1,m2
plasterboard finish,2,1,m2
plasterboard finish,2,1,m2
softwood board finish,3,1,m2
softwood board finish,3,1,m2
"Taking down, cleaning and setting aside materials for re-use",5,,
Facing brickwork,1,,
half brick wall,1,1,m2
one brick wall,2,1,m2
one and a half brick wall,3,1,m2
"Roof coverings; placing debris in rubbish skips, including disposal",2,,
roof slating,1,1,m2
roof slating,1,1,m2
roof tiling,2,1,m2
roof tiling,2,1,m2
Temporary roofs,6,,
Temporary roofs; corrugated sheeting laid to slope on and including 47 x 150mm softwood framing,1,,
fibre cement sheets,1,1,m2
fibre cement sheets,1,1,m2
fibre cement sheets,1,1,m2
fibre cement sheets,1,1,m2
galvanised sheets,2,1,m2
galvanised sheets,2,1,m2
galvanised sheets,2,1,m2
galvanised sheets,2,1,m2
translucent PVCu sheets,3,1,m2
translucent PVCu sheets,3,1,m2
translucent PVCu sheets,3,1,m2
translucent PVCu sheets,3,1,m2
extra for 47 x 150mm softwood posts,4,1,m2
extra for 47 x 150mm softwood posts,4,1,m2
Temporary screens,7,,
Temporary dustproof screens; 1200ga polythene sheeting on 47 x 100mm sawn softwood framing; joints sealed with self-adhesive PVCu tape,1,,
vertical screens,1,1,m2
vertical screens,1,1,m2
vertical screens,1,1,m2
vertical screens,1,1,m2
extra for sealing perimeters with self-adhesive tape,2,1,m2
extra for sealing perimeters with self-adhesive tape,2,1,m2
extra for access door,3,1,m2
extra for access door,3,1,m2
extra for access door,3,1,m2
extra for access door,3,1,m2
"C41: REPAIRING, RENOVATING, CONSERVING MASONRY",3,,
Cutting out decayed and defective work and replacing with new,1,,
"Cut out damaged or decayed common brickwork; cut, tooth and bond new commons (PC sum £600 per 1000) to existing in gauged mortar (1:1:6); half brick thick",1,,
stretcher bond; single brick,1,1,nr
stretcher bond; single brick,1,1,nr
stretcher bond; single brick,1,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
"Cut out damaged or decayed facing brickwork; cut, tooth and bond new facing bricks (PC sum £700 per 1000) to existing in gauged mortar (1:1:6); half brick thick",2,,
stretcher bond; single brick,1,1,nr
stretcher bond; single brick,1,1,nr
stretcher bond; single brick,1,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas not exceeding 0.50m2,2,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; in areas 0.50 - 1.00m2,3,1,nr
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 225mm wide,4,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
stretcher bond; crack repair average 450mm wide,5,1,m
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); single brick,6,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas not exceeding 0.50m2,7,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); in areas 0.50 - 1.00m2,8,1,nr
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 225mm wide,9,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
English or Flemish bond (snapped headers); crack repair average 450mm wide,10,1,m
Repointing brickwork,2,,
Rake out joints of brick walls and repoint in gauged mortar (1:1:6),1,,
flush pointing; stretcher bond,1,1,m2
flush pointing; stretcher bond,1,1,m2
flush pointing; Flemish bond,2,1,m2
flush pointing; Flemish bond,2,1,m2
flush pointing; English bond,3,1,m2
flush pointing; English bond,3,1,m2
tooled pointing; stretcher bond,4,1,m2
tooled pointing; stretcher bond,4,1,m2
tooled pointing; Flemish bond,5,1,m2
tooled pointing; Flemish bond,5,1,m2
tooled pointing; English bond,6,1,m2
tooled pointing; English bond,6,1,m2
C45: DAMP-PROOF COURSE RENEWAL AND INSERTION,4,,
Chemical damp-proof course injection,1,,
Silicone injection damp-proof coursing,1,,
half brick walls,1,1,m
half brick walls,1,1,m
one brick walls,2,1,m
one brick walls,2,1,m
one and a half brick walls,3,1,m
one and a half brick walls,3,1,m
two brick walls,4,1,m
two brick walls,4,1,m
Removal of existing joinery and wall finishes,2,,
Timber mouldings; setting aside for reuse,1,,
architraves,1,1,m
dado rails,2,1,m
skirtings,3,1,m
"Wall finishes; placing debris in rubbish skips, including disposal",2,,
plaster,1,1,m2
plaster,1,1,m2
render,2,1,m2
render,2,1,m2
plasterboard and battens,3,1,m2
plasterboard and battens,3,1,m2
"plaster, lath and battens",4,1,m2
"plaster, lath and battens",4,1,m2
asphalt,5,1,m2
asphalt,5,1,m2
ceramic tiles,6,1,m2
ceramic tiles,6,1,m2
softwood matching and battens,7,1,m2
softwood matching and battens,7,1,m2
Reinstatement of plaster finishes and refixing of salvaged joinery,3,,
Refixing salvaged timber mouldings,1,,
architraves,1,1,m
dado rails,2,1,m
skirtings,3,1,m
Making good after damp course works in Carlite lightweight plaster; 2mm finish on undercoat; jointing and finishing flush to existing; average 1.00m high,2,,
13mm two coat work to masonry walls browning undercoat,1,1,m
13mm two coat work to masonry walls browning undercoat,1,1,m
13mm two coat work to masonry walls browning undercoat,1,1,m
Dubbing out with Carlite undercoat; average 1.00m high,3,,
6mm browning to walls,1,1,m
6mm browning to walls,1,1,m
12mm browning to walls,2,1,m
12mm browning to walls,2,1,m
15mm browning to walls,3,1,m
15mm browning to walls,3,1,m
20mm browning to walls,4,1,m
20mm browning to walls,4,1,m
6mm bonding to walls,5,1,m
6mm bonding to walls,5,1,m
12mm bonding to walls,6,1,m
12mm bonding to walls,6,1,m
15mm bonding to walls,7,1,m
15mm bonding to walls,7,1,m
20mm bonding to walls,8,1,m
20mm bonding to walls,8,1,m
Cutting in physical damp course,4,,
Cut out 1.00m alternate lengths of existing brick wall one course high; lay Hyload pitch polymer damp-proof course and make good wall with bricks to match existing in cement mortar (1:3),1,,
half brick wall in commons (PC sum £600 per 1000),1,1,m
half brick wall in commons (PC sum £600 per 1000),1,1,m
half brick wall in commons (PC sum £600 per 1000),1,1,m
half brick wall in commons (PC sum £600 per 1000),1,1,m
one brick wall in commons (PC sum £600 per 1000),2,1,m
one brick wall in commons (PC sum £600 per 1000),2,1,m
one brick wall in commons (PC sum £600 per 1000),2,1,m
one brick wall in commons (PC sum £600 per 1000),2,1,m
half brick wall in facing bricks (PC sum £700 per 1000),3,1,m
half brick wall in facing bricks (PC sum £700 per 1000),3,1,m
half brick wall in facing bricks (PC sum £700 per 1000),3,1,m
half brick wall in facing bricks (PC sum £700 per 1000),3,1,m
one brick wall in facing bricks (PC sum £700 per 1000),4,1,m
one brick wall in facing bricks (PC sum £700 per 1000),4,1,m
one brick wall in facing bricks (PC sum £700 per 1000),4,1,m
one brick wall in facing bricks (PC sum £700 per 1000),4,1,m
C90: ALTERATIONS - SPOT ITEMS,5,,
Removal of building fabric fittings and fixtures,1,,
Timber mouldings,1,,
architraves,1,1,m
picture and dado rails,2,1,m
skirtings,3,1,m
"Straight flight timber staircase; placing debris in rubbish skips, including disposal",2,,
600mm wide x 2600mm rise,1,1,nr
600mm wide x 2600mm rise,1,1,nr
900mm wide x 2600mm rise,2,1,nr
900mm wide x 2600mm rise,2,1,nr
1200mm wide x 2600mm rise,3,1,nr
1200mm wide x 2600mm rise,3,1,nr
"Two flight timber staircase with landing; placing debris in rubbish skips, including disposal",3,,
600mm wide x 2600mm rise,1,1,nr
600mm wide x 2600mm rise,1,1,nr
900mm wide x 2600mm rise,2,1,nr
900mm wide x 2600mm rise,2,1,nr
1200mm wide x 2600mm rise,3,1,nr
1200mm wide x 2600mm rise,3,1,nr
"Timber balustrading; placing debris in rubbish skips, including disposal",4,,
horizontal,1,1,m
horizontal,1,1,m
raking,2,1,m
raking,2,1,m
"Removal of general fittings and fixtures and placing in rubbish skips, including disposal",2,,
Fire surround and hearth not exceeding 2.00m2 area,1,,
masonry,1,1,nr
masonry,1,1,nr
cast iron,2,1,nr
cast iron,2,1,nr
tiled concrete,3,1,nr
tiled concrete,3,1,nr
plaster,4,1,nr
plaster,4,1,nr
timber,5,1,nr
timber,5,1,nr
Wall units,2,,
600 x 300 x 300mm,1,1,nr
600 x 300 x 300mm,1,1,nr
300 x 300 x 600mm,2,1,nr
300 x 300 x 600mm,2,1,nr
600 x 300 x 600mm,3,1,nr
600 x 300 x 600mm,3,1,nr
1000 x 300 x 600mm,4,1,nr
1000 x 300 x 600mm,4,1,nr
1200 x 300 x 600mm,5,1,nr
1200 x 300 x 600mm,5,1,nr
300 x 300 x 900mm,6,1,nr
300 x 300 x 900mm,6,1,nr
600 x 300 x 900mm,7,1,nr
600 x 300 x 900mm,7,1,nr
1000 x 300 x 900mm,8,1,nr
1000 x 300 x 900mm,8,1,nr
1200 x 300 x 900mm,9,1,nr
1200 x 300 x 900mm,9,1,nr
Base units,3,,
300 x 600 x 900mm,1,1,nr
300 x 600 x 900mm,1,1,nr
600 x 600 x 900mm,2,1,nr
600 x 600 x 900mm,2,1,nr
1000 x 600 x 900mm,3,1,nr
1000 x 600 x 900mm,3,1,nr
1200 x 600 x 900mm,4,1,nr
1200 x 600 x 900mm,4,1,nr
Sink base units,4,,
1000 x 600 x 900mm,1,1,nr
1000 x 600 x 900mm,1,1,nr
1200 x 600 x 900mm,2,1,nr
1200 x 600 x 900mm,2,1,nr
1500 x 600 x 900mm,3,1,nr
1500 x 600 x 900mm,3,1,nr
Corner base units,5,,
800 x 600 x 900mm,1,1,nr
800 x 600 x 900mm,1,1,nr
900 x 600 x 900mm,2,1,nr
900 x 600 x 900mm,2,1,nr
1000 x 600 x 900mm,3,1,nr
1000 x 600 x 900mm,3,1,nr
1200 x 600 x 900mm,4,1,nr
1200 x 600 x 900mm,4,1,nr
Appliance housing units,6,,
1200 x 600 x 900mm,1,1,nr
1200 x 600 x 900mm,1,1,nr
600 x 600 x 1950mm,2,1,nr
600 x 600 x 1950mm,2,1,nr
600 x 600 x 900mm,3,1,nr
600 x 600 x 900mm,3,1,nr
Store units,7,,
600 x 600 x 300mm,1,1,nr
600 x 600 x 300mm,1,1,nr
600 x 600 x 1950mm,2,1,nr
600 x 600 x 1950mm,2,1,nr
Worktops,8,,
500mm wide,1,1,m
500mm wide,1,1,m
600mm wide,2,1,m
600mm wide,2,1,m
Draining boards,9,,
500 x 400mm,1,1,nr
500 x 400mm,1,1,nr
800 x 600mm,2,1,nr
800 x 600mm,2,1,nr
Shelving units,10,,
1500 x 300 x 1000mm,1,1,nr
1500 x 300 x 1000mm,1,1,nr
2000 x 300 x 1500mm,2,1,nr
2000 x 300 x 1500mm,2,1,nr
Shelving,11,,
not exceeding 300mm wide,1,1,m
not exceeding 300mm wide,1,1,m
300 - 600mm wide,2,1,m
300 - 600mm wide,2,1,m
"Removal of windows, doors and frames",3,,
"Timber doors, frames and linings; removing ironmongery and piecing out; placing debris in rubbish skips, including disposal",1,,
timber doors,1,1,nr
timber doors,1,1,nr
"timber door frames, linings and architraves",2,1,nr
"timber door frames, linings and architraves",2,1,nr
"Timber window frames and linings; removing ironmongery and piecing out; placing debris in rubbish skips, including disposal",2,,
timber window frames and linings; not exceeding 0.50m2,1,1,nr
timber window frames and linings; not exceeding 0.50m2,1,1,nr
timber window frames and linings; 0.50 - 1.00m2,2,1,nr
timber window frames and linings; 0.50 - 1.00m2,2,1,nr
timber window frames and linings; 1.00 - 2.00m2,3,1,nr
timber window frames and linings; 1.00 - 2.00m2,3,1,nr
timber window frames and linings; 2.00 - 3.00m2,4,1,nr
timber window frames and linings; 2.00 - 3.00m2,4,1,nr
Removal of plumbing and engineering installations; fixtures and fittings,4,,
"Plumbing and heating installations; fixtures and fittings; placing debris in rubbish skips, including disposal",1,,
back boiler,1,1,nr
back boiler,1,1,nr
boiler and flue pipe,2,1,nr
boiler and flue pipe,2,1,nr
feed and expansion tank,3,1,nr
feed and expansion tank,3,1,nr
cold water storage tank,4,1,nr
cold water storage tank,4,1,nr
hot water cylinder,5,1,nr
hot water cylinder,5,1,nr
oil tank and supply pipe,6,1,nr
oil tank and supply pipe,6,1,nr
radiators,7,1,nr
radiators,7,1,nr
circulating pump,8,1,nr
circulating pump,8,1,nr
pipework to fittings not exceeding 5m run,9,1,nr
pipework to fittings not exceeding 5m run,9,1,nr
pipework to fittings 5 - 10m run,10,1,nr
pipework to fittings 5 - 10m run,10,1,nr
drain down domestic hot and cold water system,11,1,nr
drain down central heating system not exceeding 10 radiators,12,1,nr
disconnect and make safe mains water supply,13,1,nr
disconnect and make safe mains water supply,13,1,nr
"Sanitary fittings, complete with taps and traps; placing debris in rubbish skips, including disposal",2,,
WC suite,1,1,nr
WC suite,1,1,nr
bidet,2,1,nr
bidet,2,1,nr
bath,3,1,nr
bath,3,1,nr
shower tray,4,1,nr
shower tray,4,1,nr
hand basin,5,1,nr
hand basin,5,1,nr
sink,6,1,nr
sink,6,1,nr
WC or shower cubicle partition,7,1,nr
WC or shower cubicle partition,7,1,nr
service and waste pipes to fittings not exceeding 5m run,8,1,nr
service and waste pipes to fittings not exceeding 5m run,8,1,nr
service and waste pipes to fittings 5 - 10m run,9,1,nr
service and waste pipes to fittings 5 - 10m run,9,1,nr
Removal of electrical installations; fixtures and fittings,5,,
"Electrical fixtures and fittings; placing debris in rubbish skips, including disposal",1,,
distribution and switch boards,1,1,nr
distribution and switch boards,1,1,nr
meters,2,1,nr
meters,2,1,nr
light fittings,3,1,nr
light fittings,3,1,nr
flush power sockets,4,1,nr
flush power sockets,4,1,nr
surface mounted power sockets,5,1,nr
surface mounted power sockets,5,1,nr
flush switch boxes,6,1,nr
flush switch boxes,6,1,nr
surface mounted switch boxes,7,1,nr
surface mounted switch boxes,7,1,nr
flush cooker outlets,8,1,nr
flush cooker outlets,8,1,nr
surface mounted cooker outlets,9,1,nr
surface mounted cooker outlets,9,1,nr
immersion heaters,10,1,nr
immersion heaters,10,1,nr
night storage heaters,11,1,nr
night storage heaters,11,1,nr
wall mounted extractor fans,12,1,nr
wall mounted extractor fans,12,1,nr
ceiling mounted extractor fans,13,1,nr
ceiling mounted extractor fans,13,1,nr
window mounted extractor fans,14,1,nr
window mounted extractor fans,14,1,nr
surface mounted cabling or trunking not exceeding 5m length,15,1,nr
surface mounted cabling or trunking not exceeding 5m length,15,1,nr
surface mounted cabling or trunking 5 - 10m length,16,1,nr
surface mounted cabling or trunking 5 - 10m length,16,1,nr
cap off and make safe buried cables not exceeding 30A,17,1,nr
cap off and make safe buried cables not exceeding 30A,17,1,nr
disconnect and make safe mains supply,18,1,nr
disconnect and make safe mains supply,18,1,nr
"Removal of floor, wall and ceiling finishes",6,,
"Floor finishes; placing debris in rubbish skips, including disposal",1,,
sand and cement screed,1,1,m2
sand and cement screed,1,1,m2
quarry tiles,2,1,m2
quarry tiles,2,1,m2
ceramic tiles,3,1,m2
ceramic tiles,3,1,m2
plastic floor tiles,4,1,m2
plastic floor tiles,4,1,m2
carpeting,5,1,m2
carpeting,5,1,m2
asphalt,6,1,m2
asphalt,6,1,m2
linoleum,7,1,m2
linoleum,7,1,m2
"Wall finishes; placing debris in rubbish skips, including disposal",2,,
plaster,1,1,m2
plaster,1,1,m2
render,2,1,m2
render,2,1,m2
plasterboard,3,1,m2
plasterboard,3,1,m2
lath and plaster,4,1,m2
lath and plaster,4,1,m2
asphalt,5,1,m2
asphalt,5,1,m2
ceramic tiles,6,1,m2
ceramic tiles,6,1,m2
matching,7,1,m2
matching,7,1,m2
"Ceiling finishes; placing debris in rubbish skips, including disposal",3,,
lath and plaster,1,1,m2
lath and plaster,1,1,m2
plasterboard,2,1,m2
plasterboard,2,1,m2
softwood matching,3,1,m2
softwood matching,3,1,m2
rigid sheeting,4,1,m2
rigid sheeting,4,1,m2
Removal of roof coverings,7,,
"Slates and tiles; taking off, cleaning and setting aside for re-use; placing debris in rubbish skips, including disposal",1,,
roof slating,1,1,m2
roof slating,1,1,m2
roof tiling,2,1,m2
roof tiling,2,1,m2
Cutting openings in existing structures,8,,
"Cutting openings in load bearing walls; placing debris in rubbish skips, including disposal",1,,
half brick common brickwork,1,1,m2
half brick common brickwork,1,1,m2
half brick common brickwork,1,1,m2
half brick common brickwork,1,1,m2
one brick common brickwork,2,1,m2
one brick common brickwork,2,1,m2
one brick common brickwork,2,1,m2
one brick common brickwork,2,1,m2
one and a half brick common brickwork,3,1,m2
one and a half brick common brickwork,3,1,m2
one and a half brick common brickwork,3,1,m2
one and a half brick common brickwork,3,1,m2
two brick common brickwork,4,1,m2
two brick common brickwork,4,1,m2
two brick common brickwork,4,1,m2
two brick common brickwork,4,1,m2
half brick engineering brickwork,5,1,m2
half brick engineering brickwork,5,1,m2
half brick engineering brickwork,5,1,m2
half brick engineering brickwork,5,1,m2
one brick engineering brickwork,6,1,m2
one brick engineering brickwork,6,1,m2
one brick engineering brickwork,6,1,m2
one brick engineering brickwork,6,1,m2
one and a half brick engineering brickwork,7,1,m2
one and a half brick engineering brickwork,7,1,m2
one and a half brick engineering brickwork,7,1,m2
one and a half brick engineering brickwork,7,1,m2
two brick engineering brickwork,8,1,m2
two brick engineering brickwork,8,1,m2
two brick engineering brickwork,8,1,m2
two brick engineering brickwork,8,1,m2
half brick facing brickwork,9,1,m2
half brick facing brickwork,9,1,m2
half brick facing brickwork,9,1,m2
half brick facing brickwork,9,1,m2
one brick facing brickwork,10,1,m2
one brick facing brickwork,10,1,m2
one brick facing brickwork,10,1,m2
one brick facing brickwork,10,1,m2
100 or 125mm blockwork,11,1,m2
100 or 125mm blockwork,11,1,m2
100 or 125mm blockwork,11,1,m2
100 or 125mm blockwork,11,1,m2
150mm blockwork,12,1,m2
150mm blockwork,12,1,m2
150mm blockwork,12,1,m2
150mm blockwork,12,1,m2
200mm blockwork,13,1,m2
200mm blockwork,13,1,m2
200mm blockwork,13,1,m2
200mm blockwork,13,1,m2
225mm blockwork,14,1,m2
225mm blockwork,14,1,m2
225mm blockwork,14,1,m2
225mm blockwork,14,1,m2
"250 or 275mm cavity wall (half facing brick outer, 100 or 125mm block inner skin)",15,1,m2
"250 or 275mm cavity wall (half facing brick outer, 100 or 125mm block inner skin)",15,1,m2
"250 or 275mm cavity wall (half facing brick outer, 100 or 125mm block inner skin)",15,1,m2
"250 or 275mm cavity wall (half facing brick outer, 100 or 125mm block inner skin)",15,1,m2
300mm cavity wall (half brick outer 150mm block inner skin),16,1,m2
300mm cavity wall (half brick outer 150mm block inner skin),16,1,m2
300mm cavity wall (half brick outer 150mm block inner skin),16,1,m2
300mm cavity wall (half brick outer 150mm block inner skin),16,1,m2
300mm cavity wall (half brick outer 100mm block inner skin),17,1,m2
300mm cavity wall (half brick outer 100mm block inner skin),17,1,m2
300mm cavity wall (half brick outer 100mm block inner skin),17,1,m2
